DATE,CLVMNACSCAB1GQIT
1995-01-01,351786.0
1995-04-01,352890.0
1995-07-01,352158.0
1995-10-01,355198.0
1996-01-01,357321.8
1996-04-01,356945.3
1996-07-01,357474.1
1996-10-01,356386.0
1997-01-01,357581.9
1997-04-01,362327.3
1997-07-01,364760.1
1997-10-01,371253.3
1998-01-01,368574.1
1998-04-01,370641.6
1998-07-01,371231.5
1998-10-01,369406.4
1999-01-01,371658.1
1999-04-01,372987.7
1999-07-01,376297.1
1999-10-01,382174.8
2000-01-01,386078.2
2000-04-01,389218.6
2000-07-01,391606.5
2000-10-01,397261.4
2001-01-01,399904.2
2001-04-01,398325.5
2001-07-01,397191.2
2001-10-01,396485.5
2002-01-01,396925.2
2002-04-01,398549.0
2002-07-01,399460.4
2002-10-01,400944.2
2003-01-01,399557.7
2003-04-01,398919.2
2003-07-01,398631.5
2003-10-01,402360.4
2004-01-01,403217.1
2004-04-01,404927.8
2004-07-01,404883.5
2004-10-01,405937.2
2005-01-01,405113.7
2005-04-01,408130.3
2005-07-01,410679.4
2005-10-01,411299.0
2006-01-01,412201.0
2006-04-01,414979.9
2006-07-01,416757.1
2006-10-01,422056.3
2007-01-01,421404.0
2007-04-01,422160.8
2007-07-01,423112.8
2007-10-01,421667.6
2008-01-01,426370.9
2008-04-01,422336.8
2008-07-01,417133.2
2008-10-01,406204.1
2009-01-01,395262.0
2009-04-01,394004.0
2009-07-01,396296.5
2009-10-01,397582.5
2010-01-01,398648.8
2010-04-01,401628.8
2010-07-01,403548.8
2010-10-01,405763.2
2011-01-01,407697.5
2011-04-01,407880.9
2011-07-01,405749.1
2011-10-01,401901.7
2012-01-01,397538.2
2012-04-01,394602.6
2012-07-01,392558.0
2012-10-01,389605.7
2013-01-01,385971.6
2013-04-01,386047.1
2013-07-01,386936.7
2013-10-01,386080.5
2014-01-01,386690.8
2014-04-01,386567.4
2014-07-01,386964.6
2014-10-01,385925.6
2015-01-01,386946.4
2015-04-01,388479.7
2015-07-01,389412.4
2015-10-01,391470.2
2016-01-01,392537.3
2016-04-01,393344.5
2016-07-01,395573.6
2016-10-01,396707.1
2017-01-01,398886.0
2017-04-01,400481.2
2017-07-01,402010.3
2017-10-01,404166.9
2018-01-01,404017.9
2018-04-01,404115.0
2018-07-01,404599.8
2018-10-01,405813.6
2019-01-01,406592.6
2019-04-01,407712.5
2019-07-01,407789.9
2019-10-01,404499.8
2020-01-01,380547.2
2020-04-01,332370.9
2020-07-01,385944.1
2020-10-01,379872.1
2021-01-01,380634.8
2021-04-01,390654.8
2021-07-01,401340.1
2021-10-01,404058.4
2022-01-01,404511.9
2022-04-01,409101.1
