DATE,CLVMNACSCAB1GQPL
1995-01-01,184752.8
1995-04-01,188092.7
1995-07-01,194789.5
1995-10-01,194501.8
1996-01-01,200255.4
1996-04-01,204650.0
1996-07-01,206430.4
1996-10-01,198053.8
1997-01-01,212332.9
1997-04-01,215247.1
1997-07-01,214691.8
1997-10-01,218290.2
1998-01-01,224348.4
1998-04-01,223749.2
1998-07-01,225637.0
1998-10-01,226115.1
1999-01-01,227447.1
1999-04-01,232726.8
1999-07-01,237876.2
1999-10-01,242523.4
2000-01-01,241696.4
2000-04-01,244607.8
2000-07-01,245555.1
2000-10-01,252754.9
2001-01-01,249347.0
2001-04-01,248217.3
2001-07-01,250160.6
2001-10-01,250900.3
2002-01-01,251431.0
2002-04-01,253705.0
2002-07-01,256832.3
2002-10-01,257074.5
2003-01-01,257973.0
2003-04-01,263382.0
2003-07-01,266315.1
2003-10-01,267060.9
2004-01-01,275038.5
2004-04-01,277264.5
2004-07-01,275868.0
2004-10-01,278792.7
2005-01-01,281864.6
2005-04-01,282280.0
2005-07-01,287735.3
2005-10-01,293028.0
2006-01-01,297433.1
2006-04-01,304273.3
2006-07-01,309297.0
2006-10-01,304661.7
2007-01-01,318645.6
2007-04-01,322277.4
2007-07-01,327747.0
2007-10-01,332150.2
2008-01-01,338519.8
2008-04-01,339342.7
2008-07-01,338200.6
2008-10-01,339569.9
2009-01-01,344930.9
2009-04-01,345090.1
2009-07-01,347085.7
2009-10-01,355404.2
2010-01-01,353902.6
2010-04-01,359303.4
2010-07-01,364041.1
2010-10-01,367600.0
2011-01-01,371746.6
2011-04-01,376709.7
2011-07-01,381562.1
2011-10-01,383980.3
2012-01-01,384245.3
2012-04-01,383303.3
2012-07-01,384980.8
2012-10-01,382954.3
2013-01-01,383198.4
2013-04-01,387325.8
2013-07-01,390252.5
2013-10-01,391285.1
2014-01-01,395326.3
2014-04-01,399829.5
2014-07-01,403164.5
2014-10-01,405807.5
2015-01-01,411555.1
2015-04-01,414798.3
2015-07-01,420032.8
2015-10-01,425269.4
2016-01-01,423993.1
2016-04-01,429572.6
2016-07-01,430617.6
2016-10-01,440535.5
2017-01-01,444647.4
2017-04-01,448613.4
2017-07-01,453544.4
2017-10-01,461666.7
2018-01-01,467391.7
2018-04-01,473705.8
2018-07-01,479963.5
2018-10-01,484502.4
2019-01-01,493219.6
2019-04-01,497171.2
2019-07-01,501644.4
2019-10-01,504109.5
2020-01-01,506075.5
2020-04-01,460049.3
2020-07-01,493801.0
2020-10-01,493682.3
2021-01-01,500368.4
2021-04-01,510454.8
2021-07-01,523738.1
2021-10-01,533077.0
2022-01-01,546221.3
2022-04-01,534653.1
